Id,membership,Label,which_city
1,1,Baldwin Robert i Fl 1746 1810,London
2,5,"Elliot, C.",Edinburgh
3,0,Murray John i,London
4,1,Balfour John,London
5,1,"Baldwin, R. (Robert), 1737-1810,",London
6,1,"Kincaid, Alexander, 1710 or 1711-1777.",Edinburgh
7,4,Griffin William,London
8,3,Reid James,Edinburgh
9,1,"Creech, W.",London
10,0,Evans Thomas,London
11,2,Gray William,Edinburgh
12,5,"MacIver, Susanna.",Edinburgh
13,3,"Donaldson, A.",London
14,0,Charnley William,Edinburgh
15,0,"Perry, William, lecturer in the Academy at Edinburgh.",Edinburgh
16,3,"BELL, A.",Edinburgh
17,6,"HOMER, A.",Edinburgh
18,7,"MARTIN, Archibald",Edinburgh
19,1,Balfour John,Edinburgh
20,1,"SANDBY, William",Edinburgh
21,1,Edward and Charles Dilly,London
22,0,"ETHERINGTON, Christopher",London
23,0,"FREDERICK, William",London
24,0,"NORTON, John",Edinburgh
25,3,"MACFARQUHAR, Colin",Edinburgh
26,0,"WILLISON, David",Edinburgh
27,0,"WILSON, E.",Edinburgh
28,0,"BALFOUR, Elphingston",Edinburgh
29,2,"ALSTON, Gavin",Edinburgh
30,0,Dickson Jack,Edinburgh
31,3,"COCHRAN, J.",Edinburgh
32,0,Dickson James,Edinburgh
33,1,"DODSLEY, J.",Edinburgh
34,1,"BELL, J.",Edinburgh
35,2,"GRAY, John",Edinburgh
36,0,"WILKIE, J.",Edinburgh
37,2,"Reid, John",Edinburgh
38,1,"Cadell, T. (Thomas),",Edinburgh
39,6,"MILTON, P.",Edinburgh
40,0,Jamieson Robert,Edinburgh
41,5,"DRUMMOND, W.",London
42,3,Sands William,Edinburgh
43,5,Debrett John,London
44,5,"CARY, John I",London
45,5,Kay Thomas,Edinburgh
46,5,"ROBINSON, George I",Edinburgh
47,0,"Cuthell, J.",London
48,0,"HAWKINS, Thomas Wallis",London
49,0,"HODSON, Edward",London
50,0,"PARSONS, John",London
51,0,"VERNOR, Thomas",Edinburgh
52,0,"MACKIE, W.",London
53,1,"Strahan, William",London
54,1,"Wilkie, J.",London
55,1,Dilly Charles,London
56,1,"HUGHS, John",London
57,1,"DILLY, Edward",London
58,4,"Barker, J.",London
59,4,Carnan Thomas,London
60,4,"GRIFFIN, T",London
61,4,"LISTER, George",London
62,4,"MARTIN, T",London
63,4,"OSBORNE, W",London
64,4,"GREEN, Bethnal",London
65,3,Vaillant Paul,London
66,3,"DONALDSON, John",London
67,3,"DURHAM, Thomas",London
68,1,"CAVELL, William",London
69,1,"FRENCH, T",London
70,1,"MARTIN, Thomas jr",London
71,1,"TAYLOR, John",London
72,2,"Mathews, J.",London
73,2,"Trapp, H.",London
74,2,"GOSNELL, Samuel",London
75,2,"PITCHER, Thomas",London
76,3,Kearsley George,London
77,3,"Caslon, T.",London
78,3,"Morley, A.",London
79,3,"HOOPER, Samuel",London
80,3,Coote John,London
81,6,Dodd Benjamin,London
82,6,"REILY, T.",London
83,7,"NEWMAN, Richard",London
84,1,"Strahan, Andrew",London
85,1,"ROWE, Rowe",London
86,1,"MONCRIEFFE, Messrs.",London
87,0,White Benjamin,London
88,0,"Dodd, J.",London
89,0,"BINNS, John I",London
90,0,"WILSON, Thomas",London
91,2,Millar Andrew,London
92,2,"Midwinter, D.",Edinburgh
93,2,"Buckland, J.",London
94,2,"Bensley, T.",London
95,2,"FRENCH, John",London
96,2,"COOKE, William",London
97,2,"COWPER, M",London
98,2,"WINCHESTER, William",London
99,2,Tonson Jacob,London
100,2,"STEEL, R.",London
101,0,"CROMWELL, T",London
102,0,"DURFEY, J",London
103,0,"DALE, G.",London
104,0,"ORMSTON, H.",London
105,0,Wenman Joseph,London
106,0,"MANSON, R.",London
107,0,"CURDEL, W.",London
108,2,"HODGES, William",London
109,2,"WREN, J",London
110,0,"JAMESON, R",London
