work_id,imprint_date,author,title,format,price,topic,popularity,key_scots,imprints,scots_names
2530-new theory of continual fevers,1701,"Cheyne, George, 1671-1743.","A new theory of acute and slow continu'd fevers; wherein, besides the appearances of such; and the manner of their cure, occasionally, the structure of the glands, and the manner and laws of secretion, the operation of purgative, vomitive, and mercurial medicines, are mechanically explain'd",12mo,NA,Scientific Improvement,12,1,"Edinburgh: printed for John Vallange Book-Seller, and G. Strachan at the Golden Ball in Cornhil, London (T55644); London: Printed for George Strahan, at the Golden-Ball, in Cornhil; and John Vallange, bookseller in Edinburgh (T182110); London: printed, and sold by H. Newman at the Grashopper in the Poultrey, and J. Nutt, near Stationers-Hall (T55643)","Strachan, G.; Strahan, George; NA"
37048-proposals and reasons for constituting council of trade in scotland by celebrated john law afterwards comptroller óf finances in france first published at edinburgh in 1700 in which many national improvements of great importance are pointed out viz proper means of employing poor and preventing idleness of national granaries and their advantages of improvements of mines and other products of this kingdom of advancement of manufactures in quantity and quality of setting on foot and promoting salt proper for fisheries of flourishing state of fisheries in reign of james i of scotland with account of causes of their gradual decline to their extinction reasons why means hitherto usd to restore them have proved ineffectual and true means to make them flourish pointed out of monopolies and their effects of reducing interest of money of foreign trade and carrying it on effectually of taxes and method of making them subservient to trade,1701,"Paterson, William, 1658-1719.",Proposals & reasons for constituting a council of trade,8vo,NA,Scientific Improvement,2,NA,Edinburgh: NA (T42863),NA
42483-history of king william third in iii parts vol,1702,"Boyer, Abel, 1667-1729.",The history of King William the Third. In III parts,8vo,NA,History,2,NA,"London: printed for A. Roper, at the Black Boy in Fleet-Street; and F. Coggan, in the Middle Temple Lane (T91241)",NA
48614-an elegy on death of that illustrious monarch william third king of scotland england france and ireland who departed this life at his palace at kensington on sunday 8th day of march 1701/2,1702,"Burnet, Gilbert, 1643-1715.",An elegy on the death of that illustrious monarch William the Third,2fo,NA,Literature,2,NA,"Edinburgh: re-printed by the heirs and successors of Andrew Anderson (T182425); London: printed for E. Hawkins, near Fleet-bridge (T32527)",NA
5430-liberty and independency of kingdom and church of scotland,1702,"Sibbald, Robert, Sir, 1641-1722.",The liberty and independency of the Kingdom and Church of Scotland,4to,NA,Philosophy,7,NA,Edinburgh: printed by Mr. Andrew Symson (T83147),NA
1322-history of reign of queen anne,1703,"Boyer, Abel, 1667-1729.","The history of the reign of Queen Anne, digested into annals",8vo,NA,History,19,NA,"London: printed for A. Roper, at the Black-Boy over against St. Dunstan's Church, Fleetstreet, and F. Coggan in the Inner-Temple-Lane (T105889); London: printed for A. Roper, at the Black-Boy over against St. Dunstan's Church, Fleetstreet, and F. Coggan in the Inner-Temple-Lane (T122946)",NA
19717-an account of conversation concerning right regulation of governments for common good of mankind in letter to marquiss sic of montrose,1704,"Fletcher, Andrew, 1655-1716.",An account of a conversation concerning a right regulation of governments for the common good of mankind,8vo,NA,Philosophy,3,NA,Edinburgh: printed in the year (N48953); Edinburgh: NA (T71563); London: printed for A. Baldwin (N15866),NA
3330-philosophical principles of religion natural and revealed,1705,"Cheyne, George, 1671-1743.","Philosophical principles of natural religion: containing the elements of natural philosophy, and the proofs for natural religion, arising from them. By George Cheyne, M. D. and F. R. S",8vo,NA,Philosophy,10,1,London: printed for George Strahan at the Golden Ball in Cornhill over against the Royal Exchange (T78856),"Strahan, George"
45037-an historical essay shewing that crown and kingdom of scotland is imperial and independent wherein gross mistakes of book intituled superiority and direct dominion of imperial crown and kingdom of england over crown and kingdom of scotland and of some other books to that purpose are exposed,1705,"Anderson, James, 1662-1728.","An historical essay, shewing that the crown and kingdom of Scotland, is imperial and independent",8vo,NA,History,2,NA,Edinburgh: Printed by the heirs and successors of Andrew Anderson Her Majesties printers and are to be sold by the book-sellers of Edinburgh (T154280); Edinburgh: printed by the heirs and successors of Andrew Anderson Her Majesties Printers. To be sold by the booksellers of Edinburgh (T119672),NA
48601-a memorial drawn by king williams special direction intended to be given in at treaty of reswyck justifying revolution and course of his government,1705,"Burnet, Gilbert, 1643-1715.",A memorial drawn by King William's special direction,4to,NA,History,2,NA,"London: printed for Ri. Chiswell, at the Rose and Crown in St. Paul's Church-Yard (T826)",NA
13678-treatise of eyes,1706,"Read, William, Sir, -1715.",A treatise of the eyes,8vo,NA,Scientific Improvement,4,NA,"London: printed for Richard Bassett (N49580); London: printed for Richard Basset, at the Miter near the Inner-temple-gate in Fleet street (N498639)",NA
15076-gualterus dannistonus ad amicos,1706,"Pitcairn, Archibald, 1652-1713.",Gualteri Dannistoni ad Georgium Buchananum epistola,8vo,NA,Literature,4,NA,Edinburgh: typis Jacobi Vatsoni (N709); Edinburgh: printed by James Watson (T166421),NA
24792-history of revolution by robert ferguson,1706,"Ferguson, Robert, -1714.",The history of the Revolution,4to,NA,History,3,NA,London: NA (N8126); London: NA (T110975),NA
