Id,membership,Label,which_city
1,0,Millar Andrew,London
2,1,Nourse John,London
3,3,"Robertson, J.",Edinburgh
4,3,"Lumisden, Thomas",Edinburgh
5,1,Balfour John,London
6,0,"Kincaid, Alexander, 1710 or 1711-1777.",Edinburgh
7,8,"Pasquali, Nicolo, approximately 1718-1757.",London
8,1,Gray William,Edinburgh
9,1,"Barclay, James, rector of the grammar school at Dalkeith.",Edinburgh
10,0,"Sandeman, Robert, 1718-1771.",Edinburgh
11,0,"Donaldson, A.",London
12,1,Longman Thomas,Edinburgh
13,9,"WATKINS, Adrian",Edinburgh
14,0,"ALISON, Alexander",Edinburgh
15,0,"MURRAY, A.",Edinburgh
16,7,"RANNIE, Alexander",Edinburgh
17,1,"SYMMER, Alexander",Edinburgh
18,0,"PARKER, Sackville",Edinburgh
19,2,Wright Charles,London
20,11,"WILSON, David",Edinburgh
21,NA,"CRAWFURD, G.",Edinburgh
22,NA,him,Edinburgh
23,0,"COCHRAN, J.",Edinburgh
24,10,Baillie John,Edinburgh
25,3,Traill John,London
26,7,"BELL, Joseph",Edinburgh
27,4,"STAGG, J.",Edinburgh
28,8,"DCC, M.",Edinburgh
29,1,"VAILLANT, Paul",Edinburgh
30,4,Dodsley Robert,London
31,5,"GRIFFITHS, R.",Edinburgh
32,6,"WATKINS, Richard",Edinburgh
33,0,Fleming Robert,Edinburgh
34,6,"FREEBAIRN, Robert",Edinburgh
35,4,Cooper Thomas,London
36,1,"PETER, W.",Edinburgh
37,1,Hamilton William,Edinburgh
38,2,"GORDON, W.",Edinburgh
39,4,"CHEYNE, W.",Edinburgh
40,NA,Johnston William,Edinburgh
41,NA,Miller William,Edinburgh
42,0,Sands William,Edinburgh
43,0,"Crowder, S.",London
44,0,"Pearch, G.",London
45,0,"WOODFALL, William",London
46,0,"NICHOLSON, George",London
47,0,"WILSON, David",Edinburgh
48,0,"Cadell, T. (Thomas),",Edinburgh
49,3,"Keith, G.",London
50,3,"Robinson, J.",London
51,3,"Strahan, William",London
52,4,Cooper Mary,London
53,3,Aberdeen,London
54,3,"FREER, George I",London
55,3,"HIGHMORE, J",London
56,3,"LEWIS, John",London
57,3,"MASON, Samuel",London
58,2,Baldwin Robert i Fl 1746 1810,London
59,1,"Midwinter, D.",Edinburgh
60,1,"Johnston, W.",London
61,1,"Bladon, S.",London
62,1,"Buckland, J.",London
63,1,"Caslon, T.",London
64,1,"Lowndes, T.",London
65,2,"Baldwin, R. (Robert), 1737-1810,",London
66,0,Dodd Benjamin,London
67,1,"Field, T.",London
68,2,"Rivington, J.",London
69,1,Vaillant Paul,London
70,0,"HITCH, Charles",Edinburgh
71,1,"JOHNSON, William",London
72,1,"CROPLEY, William",London
73,11,"DURHAM, Thomas",London
74,0,"HAWES, Lacy",London
75,1,"NICOLL, William",London
76,1,"PAYNE, Henry",London
77,0,"RICHARDSON, Joseph",Edinburgh
78,1,"WAUGH, James",London
79,7,Davies Thomas,London
80,0,"FLETCHER, John",London
81,0,"BECKET, Thomas",London
82,0,Withers Edward,London
83,8,"Bremner, Robert, -1789.",London
84,0,"CHATER, John",London
85,0,"VERNOR, Thomas",Edinburgh
86,0,"Davis, L.",London
87,0,"REYMERS, Charles",London
88,0,"FADEN, William",London
89,0,"DE HONDT, Peter Abraham",Edinburgh
90,0,"PRIDDEN, T",London
91,0,"LONG, B.",London
92,2,Law Bedwell,London
93,9,"Wilde, A.",London
94,9,"Roberts, J.",London
95,7,"FRANCKLIN, Richard",London
96,2,Payne John,London
97,2,"Newbery, J.",London
98,2,"CROWDER, Stanley",London
99,2,"HODGES, John",London
100,2,"COLLINS, Benjamin",London
101,2,"RICHARDSON, Mary Mrs",London
102,2,"BOUQUET, Joseph",London
103,2,"CASLON, Co",London
104,5,Owen William,Edinburgh
105,NA,"DRUMMOND, Drummond",Edinburgh
106,10,Wakelin James,London
107,10,"WOOD, John",Edinburgh
108,4,"HAWKINS, G.",London
109,4,"Richardson, Samuel, 1689-1761.",London
110,4,"DODSLEY, M",London
111,5,"Henderson, Andrew, active 1734-1775.",Edinburgh
112,5,"FOX, James",London
113,5,"REEVE, William",London
114,5,"TOVEY, Barnes",London
115,5,"Swan, J.",London
116,6,"Baskett, Thomas",London
117,6,"BASKET, Robert",London
118,6,"BASKETT, Mark",London
119,1,Murray John i,London
120,1,"BALDWIN, Richard",London
121,1,"FLETCHER, James I",London
122,0,"BELL, J.",Edinburgh
