Id,membership,Label,which_city
1,1,"Ruddimanni, Thomas",Edinburgh
2,7,Watts John,London
3,4,"Robertson, J.",Edinburgh
4,4,"Lumisden, Thomas",Edinburgh
5,6,"Malcolm, Alexander, 1685-1763.",Edinburgh
6,2,"Kincaid, Alexander, 1710 or 1711-1777.",Edinburgh
7,NA,"Mair, John, 1702 or 1703-1769.",Edinburgh
8,3,"Watson, James",Edinburgh
9,6,"Miller, Alexander",Edinburgh
10,0,Dodd Anne Ii,London
11,2,"Ramsay, Allan, 1685-1758.",Edinburgh
12,4,Duning Alexander,Edinburgh
13,3,"DAVIDSON, Alexander",Edinburgh
14,3,"GYLES, Fletcher",London
15,6,"MAC-EVEN, James",London
16,0,"HAWKINS, G.",London
17,8,Deams Hugh,Edinburgh
18,9,"KNAPTON, James",Edinburgh
19,2,"ROBERTS, J.",Edinburgh
20,10,"ROSS, James",Edinburgh
21,3,"MOSMAN, Joannes",Edinburgh
22,4,"BARRY, J.",London
23,3,"MOSMAN, John",Edinburgh
24,4,Traill John,London
25,NA,"DAVIDSON, Joseph",Edinburgh
26,4,"OSWALD, J.",Edinburgh
27,5,"WILFORD, J.",Edinburgh
28,4,"PATON, Messieurs",Edinburgh
29,4,Davidson James,Edinburgh
30,6,"LONGMAN, Mr",Edinburgh
31,1,"Gordon, William, active 18th century.",London
32,4,"Oswald, J.",Edinburgh
33,0,"FREEBAIRN, Printedby",Edinburgh
34,1,Dodsley Robert,London
35,7,Fleming Robert,Edinburgh
36,0,"FREEBAIRN, Robert",Edinburgh
37,0,Cooper Thomas,London
38,8,"RUDDIMANS, Walter",Edinburgh
39,2,Hamilton William,Edinburgh
40,3,"BROWN, William",Edinburgh
41,3,"CHEYNE, W.",Edinburgh
42,11,Monro William,Edinburgh
43,3,Millar Andrew,London
44,6,Jefferies Francis,London
45,1,Owen William,Edinburgh
46,1,Hett Richard,London
47,1,"Clarke, J.",London
48,0,Stagg John,London
49,1,Sanders Thomas,London
50,1,Bettesworth Arthur,London
51,1,"Cave, E.",Edinburgh
52,3,David Charles,London
53,1,"Strahan, G.",London
54,1,Vaillant Paul,London
55,1,"HITCH, Charles",Edinburgh
56,1,"CHANDLER, Samuel",London
57,1,"GREEN, Thomas",London
58,6,"OSBORN, John I",London
59,1,"STOKOE, Luke",London
60,6,"WATSON, James",London
61,NA,"SMITH, J.",Edinburgh
62,7,"Cook, E.",London
63,7,"DORMER, E",London
64,7,"WILLIAMS, J",London
65,4,Trye Thomas,London
66,4,"Cock, Henry",London
67,4,Akenhead Robert,Edinburgh
68,6,"SYMON, Edward",London
69,6,"FAYRAM, Francis",London
70,2,"MILLAN, John",London
71,NA,"HODGES, J.",Edinburgh
72,3,"WOODWARD, Thomas",London
73,NA,"M'EUEN, Mr",Edinburgh
74,NA,"RUDDIMANS, Walt.",Edinburgh
75,2,"Roberts, J.",London
76,2,Warner Thomas,London
77,2,"PALMER, Samuel",London
78,2,"PEELE, John",London
79,2,"COGAN, Francis",London
80,2,"CRITCHLEY, J",London
81,2,"HUGGONSON, J",London
82,NA,"LONGMAN, J",Edinburgh
83,2,"BLANDFORD, Nicholas",London
84,2,"WILLOCK, R",London
85,NA,"BRYSON, M.",Edinburgh
86,3,"Haberkorn, J.",London
87,5,"WITFORD, J",London
88,0,Cooper Mary,London
89,8,"Boyse, Samuel, 1708-1749.",London
90,8,"GRAY, John",London
91,9,"CHILDE, T",London
92,9,"KNAPTON, James",London
93,10,"Moore, A.",London
94,3,"Baskett, Thomas",London
95,3,"BASKET, Robert",London
96,NA,Gray William,Edinburgh
97,NA,"DUNCAN, David",Edinburgh
98,5,Bowyer William 1699 1777,London
99,5,"Wilford, J.",London
100,5,"AMSTERDAM, A",London
101,0,"GILLIVER, Lawton",London
102,5,"SMITH, George",London
103,5,"DUNOYER, Pierre",London
104,5,"ROBINSON, John",London
105,5,"WRIGHT, John",London
106,5,"BERNARD, Jean",London
107,4,"CHANDLER, John",London
108,NA,"DRUMMOND, W.",Edinburgh
109,NA,"MACK-EUEN, James",London
110,0,"DAMPIER, J",London
111,0,"PRATT, T",London
112,0,"BLAND, R",London
113,0,Wilson John,London
114,NA,"DAVIDSON, Joseph",Edinburgh
115,11,"PEMBERTON, John",Edinburgh
