estc_id,publication_year,actor_id,actor_name_primary,publication_place,actor_addresses,city_or_assumed_address,publisher,actor_roles_all,,
T73473,1720,jmuenandcompany_0,J. M'euan and Company,Edinburgh,Edinburgh,,"printed by J. M'euan and Company, and to be sold at the said J. M'euan's shop in Edinburgh, and T. Cox at the Amsterdam Coffee-House near the Royal Exchange in London",printer; bookseller,FALSE,1
T73473,1720,bbti_116081,"Cox, T.",Edinburgh,Amsterdam Coffee-House @@ Royal Exchange @@ London,London,"printed by J. M'euan and Company, and to be sold at the said J. M'euan's shop in Edinburgh, and T. Cox at the Amsterdam Coffee-House near the Royal Exchange in London",bookseller,TRUE,1
T73473,1720,NV36923,M. C.,Edinburgh,NA,,"printed by J. M'euan and Company, and to be sold at the said J. M'euan's shop in Edinburgh, and T. Cox at the Amsterdam Coffee-House near the Royal Exchange in London",author,TRUE,1
T154295,1720,65560351,"Meere, C.",London,Old Baily @@ Ludgate,London,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller; printer,FALSE,2
T154295,1720,tnorris_1,"Norris, T.",London,Looking-Glass @@ London-Bridge @@ his shop @@ Edinburgh,London,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller,TRUE,2
T154295,1720,bbti_106365,"Gosling, R.",London,Middle-Temple-Gate @@ Fleet-Street,London,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller,TRUE,2
T154295,1720,bbti_44618,"Maceuen, J.",London,Buchanan's Head @@ St Clement's Church @@ Strand,Edinburgh; London,"printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh",bookseller,TRUE,2
T174529,1720,140145807,Church of Scotland.,London,NA,,"printed for J. McEuen in Edinburgh, and T. Cox [London]",corporate author,FALSE,3
T174529,1720,234086766,"Dunlop, William, 1692-1720.",London,NA,,"printed for J. McEuen in Edinburgh, and T. Cox [London]",unknown,TRUE,3
T174529,1720,bbti_116081,"Cox, T.",London,London,,"printed for J. McEuen in Edinburgh, and T. Cox [London]",publisher,TRUE,3
